Consent,AgeGroup,Gender,Education,HiringExperience,AIExperience,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24_Comment
Yes,18-24,Men,Bachelor's,Yes,No,5,4,4,5,5,5,4,5,5,4,5,5,5,5,3,5,5,The explanation chart helped me understand the recommendation.
Yes,18-24,Men,Bachelor's,No,Yes,5,4,5,3,5,4,4,5,4,5,4,4,5,5,4,5,4,The explanation made the recommendation easier to trust.
Yes,18-24,Men,Master's,Yes,No,5,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,4,I found the charts useful for understanding the decision.
Yes,45+,Non-binary,Master's,Yes,Yes,3,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,The explanation made the recommendation easier to trust.
Yes,35-44,Women,Bachelor's,No,No,5,4,4,4,4,4,5,4,5,5,5,5,5,5,4,4,4,The explanation made the recommendation easier to trust.
Yes,25-34,Men,Master's,No,No,3,4,4,5,4,3,3,4,4,5,5,3,5,4,3,4,4,The explanation chart helped me understand the recommendation.
Yes,18-24,Men,Bachelor's,No,Yes,5,5,5,5,5,5,5,5,4,5,3,4,3,5,5,5,5,The explanations improved transparency.
Yes,18-24,Men,Bachelor's,No,No,5,3,4,3,4,4,4,5,4,4,4,4,5,5,5,5,4,The explanations improved transparency.
Yes,45+,Men,Bachelor's,No,Yes,3,5,5,4,5,5,5,4,5,4,5,3,4,5,5,4,5,I found the charts useful for understanding the decision.
Yes,18-24,Men,Master's,Yes,No,4,5,4,5,5,5,4,4,4,4,5,4,5,3,4,4,5,The AI appeared transparent about the factors it used.
Yes,18-24,Men,Bachelor's,Yes,No,4,4,4,5,5,4,5,4,5,4,5,4,4,4,4,4,5,I found the charts useful for understanding the decision.
Yes,18-24,Men,Bachelor's,No,Yes,4,5,5,3,4,5,4,4,5,4,5,5,5,4,5,5,5,The decision became clearer after reviewing the explanation.
Yes,25-34,Men,Master's,No,Yes,4,5,4,4,5,5,5,4,5,5,4,5,4,5,5,5,5,The explanation made the recommendation easier to trust.
Yes,25-34,Women,Bachelor's,Yes,No,5,4,5,4,3,4,4,3,4,4,5,5,5,5,4,4,5,The decision became clearer after reviewing the explanation.
Yes,18-24,Men,Master's,No,Yes,4,4,5,5,5,5,5,4,4,5,4,3,5,5,4,5,5,The decision became clearer after reviewing the explanation.
Yes,18-24,Men,Bachelor's,No,Yes,5,4,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,The decision seemed fair because the important factors were visible.
Yes,35-44,Women,High School,Yes,No,4,5,5,3,3,4,5,3,4,5,5,4,3,4,5,4,4,The explanation chart helped me understand the recommendation.
Yes,35-44,Women,High School,Yes,Yes,5,5,5,5,4,5,4,4,5,5,5,4,5,4,4,4,5,I found the charts useful for understanding the decision.
Yes,25-34,Women,PhD,No,No,4,4,5,4,4,5,4,4,4,5,3,5,3,4,5,5,5,I found the charts useful for understanding the decision.
Yes,18-24,Men,Bachelor's,Yes,Yes,5,5,3,5,3,4,5,5,4,5,5,5,4,5,5,5,5,The AI appeared transparent about the factors it used.
Yes,35-44,Men,Bachelor's,No,Yes,4,4,5,5,4,3,4,5,4,3,4,4,5,4,5,5,5,The AI appeared transparent about the factors it used.
Yes,18-24,Men,Bachelor's,No,Yes,5,5,4,4,3,4,3,5,5,5,5,5,4,5,4,5,5,The AI's reasoning was understandable.
Yes,18-24,Women,Master's,No,No,4,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,4,The AI's reasoning was understandable.
Yes,35-44,Women,Bachelor's,No,Yes,5,4,4,4,4,4,4,5,4,5,4,5,5,5,4,5,4,The explanations improved transparency.
Yes,45+,Women,PhD,Yes,Yes,5,5,5,4,4,3,5,4,5,5,5,5,5,5,5,5,5,Most recommendations were well justified by the chart.
Yes,18-24,Non-binary,Master's,No,No,3,4,3,4,5,4,5,5,3,4,4,5,4,5,4,4,4,The AI appeared transparent about the factors it used.
Yes,35-44,Women,Bachelor's,No,No,3,4,4,4,5,4,4,4,4,3,4,4,4,5,5,5,4,The decision seemed fair because the important factors were visible.
Yes,18-24,Women,PhD,No,No,4,3,4,5,3,4,4,5,5,5,3,3,5,4,5,5,5,The decision seemed fair because the important factors were visible.
Yes,25-34,Women,Bachelor's,No,Yes,5,5,4,4,4,5,5,4,5,5,4,4,5,5,4,5,5,The AI appeared transparent about the factors it used.
Yes,18-24,Women,Bachelor's,No,No,4,5,4,4,4,5,5,5,4,5,3,4,4,4,4,4,5,The explanation chart helped me understand the recommendation.
